image_id,labels,transcriptions
391,Not Misogyny,"കോളേജിൽ പുതിയ പെൺകുട്ടി വന്നാൽ
Girls
© സനൽ
എടീ..അപ്പുറത്തെ ക്ലാസ്സിലെ ആ പുതിയ കൊച്ചിന്റെ പേരെന്താ ?
Boys

അളിയാ..അപ്പുറത്തെ ക്ലാസ്സിലെ പുതിയകൊച്ചിന്റെ പേര് അശ്വതി..വീട് കോട്ടയം..അച്ഛൻ ഗൾഫിൽ..നായർ ആണ്..ചേട്ടൻ ഇല്ല..ഫേസ്ബുക്കിൽ ഉണ്ട്. ange"
848,Not Misogyny,"തത്സമയം കൈരളി ചാനലിൽ

- എല്ലാരും എന്തോന്നാ തി കളിക്കുന്നത്
ഓണത്തിന് ഇട്ടിട്ട് വെച്ച വല്യേട്ടന്റെ CD ഇവിടെ എവിടെയോ ആയിരുന്നു വെച്ചത്

*"
94,Misogyny,ഹണിടെ കുണ്ടിയിൽ തൊട്ടു
237,Not Misogyny,"കാണാൻ ഭംഗിയില്ല കൈയിൽ പത്തിന്റെ പ്രേമിച്ചു നടക്കാൻ പുറത്തിറങ്ങാൻ സ്വാതന്ത്ര്യവും ഇല്ല ആകെയുള്ളതൊരു 
ഫോണ. അതേടുത്താ പിന്നെ വിട്ടിൽ വഴക്കാം ഇതാണ് എന്റെ അവസ്ഥ കൃഎന്താല്ലേ ?"
859,Not Misogyny,"ഇന്ത്യ എന്ന വാക്ക് ഒഴിവാക്കാൻ കേന്ദ്രസർക്കാർ നീക്കം
'LDFന് വലിയ പ്രതീക്ഷ
ELECTION BREAKING
(इंडियन ऑयल
IndianOil
മലയാളം
1fb.com/troll malayalam
ഇത്രയും വലിയ ഗതികെട്ടവൻ വേറെ ഈ
നാട്ടിൽ കാണുമോ?
MUMBAI INDIANS"
784,Not Misogyny,"28.09.2023
കരുവന്നൂർ ആധാരങ്ങൾ ED കൊണ്ടുപോയി തിരികെക്കിട്ടാതെ എങ്ങനെ പണംകൊടുക്കും? സഹകരണമന്ത്രി

മന്ത്രി

കഴിഞ്ഞ ഒരു കൊല്ലമായി നിങ്ങൾ മാങ്ങ പറിക്കാൻ നടക്കായിരുന്നോ ?"
91,Misogyny,"നാട്ടിൽ അത്യാവശ്യം അറിയപ്പെടുന്ന ചേച്ചി ഒരു സുപ്രഭാതത്തിൽ ഒരു 3000രൂപ മറിക്കാനുണ്ടോടാ എന്ന് ചോദിച്ചപ്പോൾ 
ഒരു കളിക്കുള്ള വിളിയല്ലേടാ ആ കേൾക്കുന്നത്"
117,Not Misogyny,"*മൊബൈലിൽ കുത്തിക്കൊണ്ടിരിക്കുന്ന ഞാൻ ഇപ്പൊ 2:51 ആയി. കൃത്യം 3 മണിക്ക് പഠിക്കാൻ തുടങ്ങണം. അൽപസമയത്തിനു
ശേഷം അയ്യോ? 3:02 ആയോ സാരമില്ല ഇനിയിപ്പൊ 3:30ന് തുടങ്ങാം!"
810,Not Misogyny,"REPORTER 18.09.2023
കരുവന്നൂർ ബാങ്ക് തട്ടിപ്പ്
'ഇഡിയക്കാൾ മെച്ചപ്പെട്ട പരിശോധനയാണ് പാർട്ടിയുടേത്
എ സി മൊയ്തീൻ
#008000/reporterlive reporterlive.com
ഗോമസ്
ഇല്ല മലം പരിശോധനയും ആയിരിക്കും"
365,Not Misogyny,"ഒരു കുട്ടിക്കാല നോ
6161131210
*
ഇതാണ് ദൈവത്തിന്റെ നമ്പർ"
752,Not Misogyny,"
അവസാനമായി എന്തെങ്കിലും ആഗ്രഹം ഉണ്ടോ?
എസ്എൻസി ലാവലിൻ കേസ് ഇന്ന് സുപ്രീംകോടതിയിൽ
എനിക്ക് ലാവ്ലിൻ കേസിന്റെ വിധി വന്നിട്ട് മരിച്ചാൽ മതി
"
402,Not Misogyny,"ഒരു തവണയെങ്കിലും സ്കൂളിൽ നിന്ന് കഞ്ഞിയും പയറും കഴിച്ച എത്ര പേരുണ്ട്...
അതൊരു കുറവായി തോന്നാത്തവർ മാത്രം പറഞ്ഞാൽ മതി…"
630,Misogyny,കുഴിഞ്ഞ വട .. ചുളുങ്ങിയ ഇടുപ്പ്.. കമ്പി മുഖം.. തൂങ്ങിയ  മുല മുട്ടൻ ചരക്ക് വണ്ടി
