image_id,labels,transcriptions
654,not-misogyny,She : Recharge panni vidu da En unta kaasu illaya ? She Iruku but nee panni vitta oru happiness da Luv u dharshan _ mt mc TAMC9 1/+ Googhe இத்தாதண்டி உருட்டு EVEL MEME$ R^ = E*^ LFVFL .Pay
1339,Misogyny,Tha+ look from wife wen ப ask her BJafter 3 rounds *wife SheBonakoloam manasatchiye doyodg
288,not-misogyny,1Omins into the online class* Mymind : innum en da mulichiruka
1294,Misogyny,avar munnaal thangachi tnangachI nu paasama koopduringa nu nenachan friend wife ippothan puriyuthu friend pondati ah thangachi nu kooptu avala koothiyala vechikarthu than ungala mari ambalainaaluku oudikum nu
798,not-misogyny,LakshmiMv @mvlakshmibe56 Stopped exercising and eating healthy foods Started sleeping late
422,not-misogyny,Muthu Kutti Just now *Those who read poniyan selvan novel* Illa ithu PS illa #muthumc
183,not-misogyny,Indha song oru maari manda kulla ooditae iruku mo dharshan _ LEVEL WEMES$ = = VE;^ LEVEL
595,not-misogyny,எல்லாம் இருக்கிறவன் அவனால எதயுமே அனுபவிக்க முடியல எதையாவது அனுபவிக்கனும் ன்னு இருக்கரவன் கிட்ட எதுவுமே இல்லை. ஈபுரியலல #Life_circle
129,not-misogyny,Muthu Kutti Just now Sis inaiku night enna ma dinner Mom : dhosai um palaya soorum Sis: palaya sooru yaaruku? naaika poonai ka Mom : anga moonavatha oruthan irupanae Thanda soru me coming from my room : #muthumc MUTHU MC
1745,Not-Misogyny,தன்னோட கத்தி வச்சவனயே தனலட் HIIAYUN memes தன்னை காப்பாற்ற போராடிய முத்து பா யை காதலிக்கனும்ன்னு தோனல பார்த்திங்களா து தான் உmம் l elo கழுத்தில நம்பி காதலிச்ச சுமிக்கு ன்டி6
265,not-misogyny,60 0' Me Hi friends ivan dhan enna crush solitu neraya pick up lines solitu irukaan Mycrush going to eat apyy he gives O mme now Anyways naan idhukellam masiya poradhu illa bye LEVEU WEWE = L[VEL
1637,Not-Misogyny,தீபாவளிக்கு என்னென்ன பட்டாசு வாங்கலாம்னு#குழந்தைகள் எவ்வளவு ரூபாய்க்கு பட்டு சேலை வாங்கலாம்னு ஈமனைவி இதுக்கெல்லாம் எவன்கிட்டகடன் வாங்கலாம்னு #கணவன் oneindia tami
